forecast_time,temperature,fetch_time,location
2025-07-24 00:00:00,27.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 23:00:00,26.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 23:00:00,27.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 22:00:00,26.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 22:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 21:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 21:00:00,26.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 20:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 20:00:00,26.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 19:00:00,27.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 19:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 18:00:00,27.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 18:00:00,26.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 17:00:00,26.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 17:00:00,27.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 16:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 16:00:00,27.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 15:00:00,27.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 15:00:00,28.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 14:00:00,28.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 14:00:00,27.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 13:00:00,29.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 13:00:00,28.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 12:00:00,30.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 12:00:00,28.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 11:00:00,29.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 11:00:00,31.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 10:00:00,30.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 10:00:00,32.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 09:00:00,31.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 09:00:00,33.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 08:00:00,31.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 08:00:00,33.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 07:00:00,34.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 07:00:00,31.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 06:00:00,32.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 06:00:00,33.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 05:00:00,33.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 05:00:00,32.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 04:00:00,32.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 04:00:00,32.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 03:00:00,31.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 03:00:00,31.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 02:00:00,30.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 02:00:00,29.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 01:00:00,28.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-23 01:00:00,28.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 00:00:00,26.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-23 00:00:00,27.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 23:00:00,26.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 23:00:00,26.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 22:00:00,26.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 22:00:00,26.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 21:00:00,26.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 21:00:00,26.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 20:00:00,26.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 20:00:00,26.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 19:00:00,26.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 19:00:00,26.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 18:00:00,26.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 18:00:00,26.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 17:00:00,26.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 17:00:00,26.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 16:00:00,26.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 16:00:00,26.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 15:00:00,27.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 15:00:00,27.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 14:00:00,27.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 14:00:00,28.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 13:00:00,28.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 13:00:00,29.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 12:00:00,29.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 12:00:00,30.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 11:00:00,30.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 11:00:00,30.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 10:00:00,31.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 10:00:00,30.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 09:00:00,32.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 09:00:00,31.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 08:00:00,32.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 08:00:00,32.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 07:00:00,33.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 07:00:00,33.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 06:00:00,33.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 06:00:00,33.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 05:00:00,32.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 05:00:00,32.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 04:00:00,31.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 04:00:00,31.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 03:00:00,30.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 03:00:00,30.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 02:00:00,29.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 02:00:00,29.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 01:00:00,27.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-22 01:00:00,27.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 00:00:00,26.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-22 00:00:00,26.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 23:00:00,26.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 23:00:00,25.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 22:00:00,25.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 22:00:00,25.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 21:00:00,25.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 21:00:00,25.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 20:00:00,25.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 20:00:00,25.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 19:00:00,25.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 19:00:00,25.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 18:00:00,26.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 18:00:00,25.7,2025-07-18 23:57:23.673583,Bangkok
